# year,month,day,hour,min,sec,msec, x (m), y(m), z(m)
2023,3,14,0,1,40,0,0.0464188,-0.0151325,-0.00165173
2023,3,14,0,1,40,400,0.0147391,0.0109387,0.00162941
2023,3,14,0,1,40,799,0.03782,9.00208e-05,0.0118898
2023,3,14,0,1,41,200,0.0277614,0.00724983,0.00817888
2023,3,14,0,1,41,599,-0.0262763,0.0144421,0.0114535
2023,3,14,0,1,42,0,-0.00363223,0.00376278,0.0157079
2023,3,14,0,1,42,400,0.00771428,-0.00677379,0.0199484
2023,3,14,0,1,42,799,-0.0141155,0.00077269,0.0281412
2023,3,14,0,1,43,200,-0.036156,0.00843313,0.0342965
2023,3,14,0,1,43,599,-0.0365043,-0.00169994,0.0414029
2023,3,14,0,1,44,0,-0.0590991,0.0063257,0.0454671
2023,3,14,0,1,44,400,-0.0490866,-0.00341051,0.0464972
2023,3,14,0,1,44,799,-0.0613996,-0.0128724,0.0465017
2023,3,14,0,1,45,200,-0.0411678,-0.0041161,0.0385051
2023,3,14,0,1,45,599,-0.0213962,-0.0130509,0.0155597
2023,3,14,0,1,46,0,-0.00210827,-0.0037168,0.00163134
2023,3,14,0,1,46,400,0.0167017,-0.012025,-0.0162759
2023,3,14,0,1,46,799,0.0240741,-0.00201805,-0.0261858
2023,3,14,0,1,47,200,0.0200687,-0.00961045,-0.0440696
2023,3,14,0,1,47,599,0.0156918,-0.01677,-0.0489883
2023,3,14,0,1,48,0,0.0109412,-0.00554688,-0.0569165
2023,3,14,0,1,48,400,0.00584905,-0.011854,-0.0598966
2023,3,14,0,1,48,799,-0.0105334,-0.0176683,-0.0459852
2023,3,14,0,1,49,200,-0.0271649,-0.022949,-0.0261994
2023,3,14,0,1,49,599,-0.0330819,-0.00976892,-0.0224944
2023,3,14,0,1,50,0,-0.0502054,-0.0140346,-0.0248303
2023,3,14,0,1,50,400,-0.0674937,-0.0177023,-0.0182466
2023,3,14,0,1,50,799,-0.0848949,-0.0207716,-0.00577717
2023,3,14,0,1,51,200,-0.113345,-0.00529688,0.00460421
2023,3,14,0,1,51,599,-0.13083,-0.00717124,0.00890739
2023,3,14,0,1,52,0,-0.159243,-0.00840006,0.000196606
2023,3,14,0,1,52,400,-0.187539,-0.00894128,-0.00455133
2023,3,14,0,1,52,799,-0.215658,-0.00880629,-0.000368898
2023,3,14,0,1,53,200,-0.243538,0.00997221,0.0107109
2023,3,14,0,1,53,599,-0.271118,0.011452,0.0147273
2023,3,14,0,1,54,0,-0.298319,0.0136706,0.0156898
2023,3,14,0,1,54,400,-0.203572,0.0166252,0.0245691
2023,3,14,0,1,54,799,-0.142648,0.0203187,0.0224043
2023,3,14,0,1,55,200,-0.125322,0.0247738,0.0142238
2023,3,14,0,1,55,599,-0.074623,0.0299817,0.00603161
2023,3,14,0,1,56,0,-0.0344537,0.0359412,-0.00815867
2023,3,14,0,1,56,400,-0.0156372,0.0426718,-0.0173554
2023,3,14,0,1,56,799,0.00391135,0.0133078,-0.00564866
2023,3,14,0,1,57,200,0.00233205,0.00376789,-6.68464e-06
2023,3,14,0,1,57,599,-0.00923275,-0.00493386,0.0115291
2023,3,14,0,1,58,0,0.00218724,-0.0128231,0.017994
2023,3,14,0,1,58,400,0.0146638,-0.019911,0.0194018
2023,3,14,0,1,58,799,0.0282684,-0.0261883,0.0287244
2023,3,14,0,1,59,200,0.0430587,-0.0316861,0.0220202
2023,3,14,0,1,59,599,0.048153,-0.018484,0.0212614
2023,3,14,0,2,0,0,0.0655443,-0.0225253,0.0214345
2023,3,14,0,2,0,400,0.0733394,-0.0258272,0.0245442
2023,3,14,0,2,0,799,0.0716296,-0.0284239,0.0235992
2023,3,14,0,2,1,200,0.0823999,-0.0123914,0.0186038
2023,3,14,0,2,1,599,0.0946966,0.00422516,0.0175429
2023,3,14,0,2,2,0,0.108542,0.00348286,0.0224017
2023,3,14,0,2,2,400,0.123961,0.00335038,0.015209
2023,3,14,0,2,2,799,0.130009,0.0217275,0.0109572
2023,3,14,0,2,3,200,0.148653,0.022646,0.00962429
2023,3,14,0,2,3,599,0.157937,0.0420017,0.0131966
2023,3,14,0,2,4,0,0.168842,0.0438361,0.0166695
2023,3,14,0,2,4,400,0.181368,0.0461047,0.0100785
2023,3,14,0,2,4,799,0.195491,0.0487649,-0.000559763
2023,3,14,0,2,5,200,0.200211,0.0517776,-0.0122614
2023,3,14,0,2,5,599,0.20651,0.0551097,-0.0230048
2023,3,14,0,2,6,0,0.22529,0.0587026,-0.0288398
2023,3,14,0,2,6,400,0.245491,0.0804457,-0.0287795
2023,3,14,0,2,6,799,0.256111,0.0843588,-0.0188581
2023,3,14,0,2,7,200,0.268077,0.0884137,-0.0180593
2023,3,14,0,2,7,599,0.259402,0.0925415,-0.0123894
2023,3,14,0,2,8,0,0.273932,0.0777771,-0.00685533
2023,3,14,0,2,8,400,0.289578,0.0820088,-0.000463475
2023,3,14,0,2,8,799,0.29528,0.0861647,-0.00318118
2023,3,14,0,2,9,200,0.301973,0.0902214,-0.0259209
2023,3,14,0,2,9,599,0.320498,0.0941097,-0.0417114
2023,3,14,0,2,10,0,0.328796,0.0788708,-0.0436001
2023,3,14,0,2,10,400,0.0837993,0.0266031,-0.0366468
2023,3,14,0,2,10,799,-0.0719627,0.0111267,-0.0238397
2023,3,14,0,2,11,200,-0.192729,-0.0414783,-0.0191675
2023,3,14,0,2,11,599,-0.268797,-0.0573886,-0.0116355
2023,3,14,0,2,12,0,-0.321351,-0.0736468,-0.0002559
2023,3,14,0,2,12,400,-0.351591,-0.0903052,0.00301838
2023,3,14,0,2,12,799,-0.370682,-0.0884508,0.00916538
2023,3,14,0,2,13,200,-0.378752,-0.10607,0.00025762
2023,3,14,0,2,13,599,-0.375967,-0.124166,-0.00072206
2023,3,14,0,2,14,0,-0.362451,-0.142794,0.00120023
2023,3,14,0,2,14,400,-0.349309,-0.161974,0.00701736
2023,3,14,0,2,14,799,-0.314719,-0.181722,0.00577454
2023,3,14,0,2,15,200,-0.258849,-0.16522,0.00248719
2023,3,14,0,2,15,599,-0.225698,-0.14947,0.0120941
2023,3,14,0,2,16,0,-0.182388,-0.116577,0.00867262
2023,3,14,0,2,16,400,-0.139986,-0.102465,0.0121832
2023,3,14,0,2,16,799,-0.109515,-0.089164,0.0126649
2023,3,14,0,2,17,200,-0.0800353,-0.0587263,0.00216285
2023,3,14,0,2,17,599,-0.0516049,-0.0471002,-0.00135204
2023,3,14,0,2,18,0,-0.0352067,-0.0362833,0.000117971
2023,3,14,0,2,18,400,-0.030864,-0.0262623,0.00257155
2023,3,14,0,2,18,799,-0.0166491,-0.0170477,0.00401408
2023,3,14,0,2,19,200,-0.00358302,0.00930698,-0.0114654
2023,3,14,0,2,19,599,0.0192622,0.0168766,-0.0188855
2023,3,14,0,2,20,0,0.018949,0.0236696,-0.00933559
2023,3,14,0,2,20,400,0.0174796,0.0117856,-0.00376368
2023,3,14,0,2,20,799,0.0257945,0.0171615,-0.00913655
2023,3,14,0,2,21,200,0.0219462,0.0218198,-0.00746241
2023,3,14,0,2,21,599,0.0169323,0.0437017,0.000237385
2023,3,14,0,2,22,0,0.0107602,0.0468969,0.0109506
2023,3,14,0,2,22,400,0.00345934,0.0494427,0.0236917
2023,3,14,0,2,22,799,0.00598375,0.0513504,0.0215103
2023,3,14,0,2,23,200,-0.0145293,0.0526518,0.0243968
2023,3,14,0,2,23,599,-0.00320993,0.0533686,0.017394
2023,3,14,0,2,24,0,0.00700523,0.0714522,0.0145101
2023,3,14,0,2,24,400,-0.00578987,0.0710152,0.0196866
2023,3,14,0,2,24,799,0.00237732,0.070067,0.0139929
2023,3,14,0,2,25,200,0.00952967,0.0507191,0.00942835
2023,3,14,0,2,25,599,0.015736,0.0489227,0.00698267
2023,3,14,0,2,26,0,0.0210171,0.0646289,0.00465835
2023,3,14,0,2,26,400,0.0254428,0.0619415,-0.00252981
2023,3,14,0,2,26,799,0.0400066,0.0588971,-0.0155389
2023,3,14,0,2,27,200,0.0428163,0.05551,-0.0283782
2023,3,14,0,2,27,599,0.0449151,0.0517985,-0.0310906
2023,3,14,0,2,28,0,0.0573099,0.0478181,-0.0187184
2023,3,14,0,2,28,400,0.0581046,0.0435693,-0.0172415
2023,3,14,0,2,28,799,0.0583518,0.0211513,-0.00468967
2023,3,14,0,2,29,200,0.0690618,0.0165237,0.00394302
2023,3,14,0,2,29,599,0.0573678,-0.00621491,0.00868727
2023,3,14,0,2,30,0,0.0672408,-0.0111298,0.00655121
2023,3,14,0,2,30,400,0.0657737,-0.0161762,0.00753082
2023,3,14,0,2,30,799,0.0749726,-0.0213485,0.00662863
2023,3,14,0,2,31,200,0.0729345,-0.0266217,0.0157969
2023,3,14,0,2,31,599,0.0706992,-0.0319697,0.0230542
2023,3,14,0,2,32,0,0.0683131,-0.0194444,0.0184185
2023,3,14,0,2,32,400,0.0658194,-0.024967,0.00196309
2023,3,14,0,2,32,799,0.0632553,-0.0125759,0.0025904
2023,3,14,0,2,33,200,0.0606725,-0.0181984,0.00530786
2023,3,14,0,2,33,599,0.0471282,-0.00587108,0.0160602
2023,3,14,0,2,34,0,0.0446305,-0.011509,0.0139019
2023,3,14,0,2,34,400,0.042206,-0.0171011,0.00385426
2023,3,14,0,2,34,799,0.0289241,-0.00469898,-0.00907579
2023,3,14,0,2,35,200,0.0267738,-0.0102165,-0.0109343
2023,3,14,0,2,35,599,0.0247682,0.00229036,0.00719532
2023,3,14,0,2,36,0,0.0229374,-0.0030977,0.00935892
2023,3,14,0,2,36,400,0.0212989,-0.00835415,0.00856275
2023,3,14,0,2,36,799,0.00890985,0.00445271,0.0127816
2023,3,14,0,2,37,200,0.00774309,-0.000579819,0.00904511
2023,3,14,0,2,37,599,-0.00414118,-0.00546142,0.0143063
2023,3,14,0,2,38,0,-0.00478705,-0.0101484,0.0155737
2023,3,14,0,2,38,400,-0.00518786,0.00327702,0.0138493
2023,3,14,0,2,38,799,-0.00531942,0.0168272,0.0250774
2023,3,14,0,2,39,200,-0.00520353,0.012603,0.0143423
2023,3,14,0,2,39,599,-0.00481775,0.0265425,0.00960977
2023,3,14,0,2,40,0,-0.00417403,0.00478458,0.00985913
2023,3,14,0,2,40,400,-0.00327058,0.00128731,-0.0108423
2023,3,14,0,2,40,799,-0.013066,0.0159808,-0.0235227
2023,3,14,0,2,41,200,-0.0225578,0.0129473,-0.0322213
2023,3,14,0,2,41,599,-0.0208116,-0.00771823,-0.0369383
2023,3,14,0,2,42,0,-0.0188194,-0.0100819,-0.0426805
2023,3,14,0,2,42,400,-0.0165953,0.00580139,-0.0464635
2023,3,14,0,2,42,799,-0.0250913,0.00399995,-0.0403239
